[INFO] 2025-06-10 07:47:04,025 - [+] Capture complete: C:\Users\Dr.Yasser\Documents\Project4\BootConPythonPrject\cap_int.pcap
[WARNING] 2025-06-10 07:47:23,678 - [!] Geolocation error for 18.200.182.178 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:23,784 - [!] Geolocation error for 18.200.182.178 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:23,785 - [!] Geolocation error for 192.168.0.1 or 239.255.255.250: The address 239.255.255.250 is not in the database.
[WARNING] 2025-06-10 07:47:23,969 - [!] Geolocation error for 192.168.0.18 or 35.212.160.220: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:24,125 - [!] Geolocation error for 35.212.160.220 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:25,317 - [!] Geolocation error for 142.250.72.162 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:25,318 - [!] Geolocation error for 192.168.0.18 or 54.239.33.159: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:25,318 - [!] Geolocation error for 54.239.33.159 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:25,319 - [!] Geolocation error for 192.168.0.18 or 141.226.230.48: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:25,319 - [!] Geolocation error for 141.226.230.48 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:25,573 - [!] Geolocation error for 192.168.0.18 or 212.83.160.162: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:25,574 - [!] Geolocation error for 212.83.160.162 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:25,575 - [!] Geolocation error for 192.168.0.18 or 51.222.241.100: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:25,575 - [!] Geolocation error for 51.222.241.100 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:25,579 - [!] Geolocation error for 192.168.0.18 or 212.129.3.113: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:25,642 - [!] Geolocation error for 192.168.0.18 or 52.86.111.236: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:25,643 - [!] Geolocation error for 52.86.111.236 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:25,731 - [!] Geolocation error for 212.129.3.113 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:25,735 - [!] Geolocation error for 192.168.0.18 or 87.250.254.106: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:25,735 - [!] Geolocation error for 192.168.0.18 or 20.189.173.4: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:25,736 - [!] Geolocation error for 20.189.173.4 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:25,741 - [!] Geolocation error for 87.250.254.106 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:25,745 - [!] Geolocation error for 192.168.0.18 or 34.111.24.1: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:25,746 - [!] Geolocation error for 34.111.24.1 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:25,816 - [!] Geolocation error for 141.226.230.48 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:25,818 - [!] Geolocation error for 146.75.93.44 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:26,882 - [!] Geolocation error for 192.168.0.11 or 224.0.0.251: The address 224.0.0.251 is not in the database.
[WARNING] 2025-06-10 07:47:26,883 - [!] Geolocation error for fe80::85f:644d:3afd:1653 or ff02::fb: The address ff02::fb is not in the database.
[WARNING] 2025-06-10 07:47:26,883 - [!] Geolocation error for fe80::85f:644d:3afd:1653 or ff02::16: The address ff02::16 is not in the database.
[WARNING] 2025-06-10 07:47:27,117 - [!] Geolocation error for 192.168.0.11 or 224.0.0.2: The address 224.0.0.2 is not in the database.
[WARNING] 2025-06-10 07:47:27,117 - [!] Geolocation error for 192.168.0.11 or 224.0.0.251: The address 224.0.0.251 is not in the database.
[WARNING] 2025-06-10 07:47:27,344 - [!] Geolocation error for 192.168.0.18 or 87.240.137.164: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:27,348 - [!] Geolocation error for 87.240.137.164 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:27,365 - [!] Geolocation error for 146.75.93.44 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:27,368 - [!] Geolocation error for 192.168.0.18 or 35.71.139.29: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:27,369 - [!] Geolocation error for 192.168.0.18 or 208.115.233.54: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:27,370 - [!] Geolocation error for 35.71.139.29 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:27,375 - [!] Geolocation error for 192.168.0.18 or 23.105.14.105: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:27,375 - [!] Geolocation error for 23.105.14.105 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:27,377 - [!] Geolocation error for 34.159.193.21 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:27,378 - [!] Geolocation error for 192.168.0.18 or 23.56.109.145: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:27,378 - [!] Geolocation error for 192.168.0.18 or 209.18.47.63: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:27,378 - [!] Geolocation error for 23.56.109.145 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:27,379 - [!] Geolocation error for 209.18.47.63 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:27,379 - [!] Geolocation error for 192.168.0.18 or 23.56.109.137: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:27,380 - [!] Geolocation error for 23.56.109.137 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:27,380 - [!] Geolocation error for 192.168.0.18 or 146.75.94.49: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:27,381 - [!] Geolocation error for 146.75.94.49 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:27,382 - [!] Geolocation error for 192.168.0.18 or 34.159.193.21: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:27,678 - [!] Geolocation error for 192.168.0.18 or 141.95.98.64: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:27,680 - [!] Geolocation error for 192.168.0.18 or 35.160.187.118: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:27,680 - [!] Geolocation error for 141.95.98.64 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:27,681 - [!] Geolocation error for 35.160.187.118 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:27,683 - [!] Geolocation error for 192.168.0.18 or 35.244.154.8: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:27,683 - [!] Geolocation error for 35.244.154.8 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:27,833 - [!] Geolocation error for 192.168.0.18 or 35.214.170.116: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:27,916 - [!] Geolocation error for 35.214.170.116 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:28,259 - [!] Geolocation error for 192.168.0.18 or 34.96.71.22: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:28,260 - [!] Geolocation error for 34.96.71.22 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:28,326 - [!] Geolocation error for 142.250.72.162 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:28,327 - [!] Geolocation error for 192.168.0.18 or 50.57.31.206: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:28,328 - [!] Geolocation error for 50.57.31.206 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:28,456 - [!] Geolocation error for 192.168.0.18 or 216.22.16.57: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:28,458 - [!] Geolocation error for 216.22.16.57 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:28,590 - [!] Geolocation error for 192.168.0.18 or 3.33.220.150: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:28,591 - [!] Geolocation error for 3.33.220.150 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:28,594 - [!] Geolocation error for 192.168.0.18 or 47.252.78.131: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:28,727 - [!] Geolocation error for 142.250.72.162 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:28,728 - [!] Geolocation error for 47.252.78.131 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:28,729 - [!] Geolocation error for 142.250.72.162 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:28,734 - [!] Geolocation error for 208.115.233.54 or 192.168.0.18: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:28,876 - [!] Geolocation error for 192.168.0.18 or 141.226.124.48: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:28,876 - [!] Geolocation error for 192.168.0.18 or 172.111.38.54: The address 192.168.0.18 is not in the database.
[WARNING] 2025-06-10 07:47:28,877 - [!] Geolocation error for 141.226.124.48 or 192.168.0.18: The address 192.168.0.18 is not in the database.
